GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
0500000US24001,24001,"Allegany County, Maryland",75087,75047,74966,74562,73936,73566,73007,72462,72055,71386,70975
0500000US24003,24003,"Anne Arundel County, Maryland",537656,537631,539277,544744,550311,555438,559691,563502,567665,571592,576031
0500000US24005,24005,"Baltimore County, Maryland",805029,805229,806560,812797,818023,822238,825006,827471,828616,828603,828431
0500000US24009,24009,"Calvert County, Maryland",88737,88739,88988,89318,89715,90438,90545,90468,91028,91365,92003
0500000US24011,24011,"Caroline County, Maryland",33066,33078,33054,32887,32631,32647,32535,32591,32836,33108,33304
0500000US24013,24013,"Carroll County, Maryland",167134,167142,167212,167019,167032,167199,167317,167133,167110,167620,168429
0500000US24015,24015,"Cecil County, Maryland",101108,101102,101167,101561,101753,101891,102201,102418,102567,102573,102826
0500000US24017,24017,"Charles County, Maryland",146551,146565,147156,149182,150660,152649,154373,155692,157336,159451,161503
0500000US24019,24019,"Dorchester County, Maryland",32618,32623,32688,32694,32473,32559,32495,32404,32261,32145,31998
0500000US24021,24021,"Frederick County, Maryland",233385,233391,234204,237263,239643,241143,243417,245114,247224,250959,255648
0500000US24023,24023,"Garrett County, Maryland",30097,30139,30141,30148,29964,29964,29649,29435,29371,29261,29163
0500000US24025,24025,"Harford County, Maryland",244826,244826,245235,246704,248556,248892,249330,249589,250361,251890,253956
0500000US24027,24027,"Howard County, Maryland",287085,287123,288628,293579,299213,303583,306998,311449,315619,319374,323196
0500000US24029,24029,"Kent County, Maryland",20197,20195,20212,20247,19970,19812,19771,19713,19662,19437,19383
0500000US24031,24031,"Montgomery County, Maryland",971777,971964,976287,991833,1005852,1016064,1025617,1033994,1040245,1048244,1052567
0500000US24033,24033,"Prince George's County, Maryland",863420,863349,865747,873679,881870,890117,899223,905737,907939,908801,909308
0500000US24035,24035,"Queen Anne's County, Maryland",47798,47789,47809,48262,48503,48527,48793,48991,49074,49667,50251
0500000US24037,24037,"St. Mary's County, Maryland",105151,105143,105762,107558,108805,109228,109926,110965,111689,112413,112664
0500000US24039,24039,"Somerset County, Maryland",26470,26470,26464,26253,26034,25960,25577,25684,25837,25913,25675
0500000US24041,24041,"Talbot County, Maryland",37782,37777,37874,37941,37983,37898,37529,37414,37123,37020,36968
0500000US24043,24043,"Washington County, Maryland",147430,147430,147734,148766,149036,148994,149060,149116,149665,150288,150926
0500000US24045,24045,"Wicomico County, Maryland",98733,98733,98971,100051,100556,100850,101368,101800,102136,102363,103195
0500000US24047,24047,"Worcester County, Maryland",51454,51451,51501,51501,51580,51550,51572,51425,51424,51577,51823
0500000US24510,24510,"Baltimore city, Maryland",620961,620862,621005,620442,622973,622497,623165,622150,615849,609841,602495